IDADE,FORMAÇÃO DA MÃE,FORMAÇÃO DO PAI,ACESSO A INTERNET,NUMERO DE COMPUTADORES,INICIOU OS ESTUDOS,CURSO O ENSINO FUNDAMENTAL,REPROVOU,ABANDONOU A  ESCOLA,GESTÃO ESCOLAR / PROFESSORES TRABALHAM COM FOCO NO SPAECE,PROFESSORES TIRAM DUVIDAS,PROFESSORES CORRIGEM AS ATIVIDADES,TURNO ESCOLAR,NUMERO DE PONTOS EM PORTUGUES,NÚMERO DE PONTOS EM MATEMÁTICA,SEXO,PROFICIENCIA EM PORTUGUES,PROFICIENCIA EM MATEMÁTICA
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,,,,,,,
18,5,3,1,0,3,1,0,0,3,3,2,4,19,12,1,303.36,346.31
17,2,5,1,0,3,3,0,0,1,1,0,4,13,7,1,263.93,264.55
17,1,2,1,1,5,1,0,0,2,2,1,2,12,4,1,255.4,230.04
18,5,3,1,1,5,1,0,1,2,3,1,4,18,3,1,296.86,236.55
18,3,3,0,0,3,1,0,1,2,2,1,2,13,5,1,271.59,250.23
17,4,3,0,0,3,1,0,0,1,3,1,4,14,5,1,249.19,272.39
18,1,1,0,0,3,1,0,0,2,2,1,3,10,3,1,232.91,226.77
17,6,6,1,1,5,1,0,0,2,1,1,2,12,4,1,249.98,230.71
19,3,3,0,0,5,1,2,0,2,3,2,3,11,4,1,250.88,202.76
17,4,5,1,1,5,3,0,0,2,2,2,3,21,5,1,310.75,228.79
17,1,1,0,1,5,1,0,0,3,3,1,4,17,7,1,292.99,271.81
17,5,2,1,1,5,3,0,0,2,3,2,1,16,5,1,278.54,280.56
18,3,3,0,1,3,2,1,0,3,3,2,4,24,9,1,349.94,303.73
17,5,6,1,1,3,1,0,0,3,3,3,4,22,7,1,325.2,264.34
17,6,5,1,1,3,1,0,0,2,2,2,1,15,8,1,270.74,256.53
17,3,1,1,1,3,1,0,0,2,2,2,2,19,9,1,316.29,297.78
17,6,3,1,1,3,1,0,0,2,2,2,1,19,6,1,292.32,246.02
18,2,2,1,0,3,3,0,0,3,3,3,1,11,8,1,242.85,300.27
17,5,5,1,0,5,3,0,0,2,2,1,3,20,3,1,300.75,223.98
17,4,5,1,1,5,2,0,0,2,3,1,1,24,12,1,336.64,364.6
17,5,3,1,1,3,3,0,0,2,2,2,2,10,6,1,239.93,241.98
17,6,5,1,0,3,1,0,0,3,3,3,1,14,7,1,270.38,243.11
17,1,1,1,1,3,1,0,0,2,3,3,2,21,13,1,323.99,336.45
